tag,yr,mo,total
SILVERRAIL,2018,2,19
SILVERRAIL,2018,3,40
SILVERRAIL,2018,4,78
SILVERRAIL,2018,5,115
SILVERRAIL,2018,6,138
SILVERRAIL,2018,7,156
SILVERRAIL,2018,8,173
SILVERRAIL,2018,9,193
SILVERRAIL,2018,10,216
SILVERRAIL,2018,11,234
SILVERRAIL,2018,12,250
SILVERRAIL,2019,1,270
SILVERRAIL,2019,2,284
SILVERRAIL,2019,3,294
SILVERRAIL,2019,4,324
SILVERRAIL,2019,5,373
SILVERRAIL,2019,6,415
SILVERRAIL,2019,7,447
SILVERRAIL,2019,8,478
SILVERRAIL,2019,9,507
VIRGIN,2018,1, -   
VIRGIN,2018,2,#VALUE!
VIRGIN,2018,3,#VALUE!
VIRGIN,2018,4,#VALUE!
VIRGIN,2018,5,#VALUE!
VIRGIN,2018,6,#VALUE!
VIRGIN,2018,7,#VALUE!
VIRGIN,2018,8,#VALUE!
VIRGIN,2018,9,#VALUE!
VIRGIN,2018,10,#VALUE!
VIRGIN,2018,11,#VALUE!
VIRGIN,2018,12,#VALUE!
VIRGIN,2019,1,#VALUE!
VIRGIN,2019,2,#VALUE!
VIRGIN,2019,3,#VALUE!
VIRGIN,2019,4,#VALUE!
VIRGIN,2019,5,#VALUE!
VIRGIN,2019,6,#VALUE!
VIRGIN,2019,7,#VALUE!
VIRGIN,2019,8,#VALUE!
VIRGIN,2019,9,#VALUE!
WANDERU,2018,1, -   
WANDERU,2018,2,#VALUE!
WANDERU,2018,3,#VALUE!
WANDERU,2018,4,#VALUE!
WANDERU,2018,5,#VALUE!
WANDERU,2018,6,#VALUE!
WANDERU,2018,7,#VALUE!
WANDERU,2018,8,#VALUE!
WANDERU,2018,9,#VALUE!
WANDERU,2018,10,#VALUE!
WANDERU,2018,11,#VALUE!
WANDERU,2018,12,#VALUE!
WANDERU,2019,1,#VALUE!
WANDERU,2019,2,#VALUE!
WANDERU,2019,3,#VALUE!
WANDERU,2019,4,#VALUE!
WANDERU,2019,5,#VALUE!
WANDERU,2019,6,#VALUE!
WANDERU,2019,7,#VALUE!
WANDERU,2019,8,#VALUE!
WANDERU,2019,9,#VALUE!
